Area,LAT,LON,BID,Pop
8130,40.1090015,-88.197375,4022,20
10785,40.1183257,-88.203384,1022,142
5300,40.1127281,-88.1951951,4003,16
2103,40.0839214,-88.1628973,1015,11
18058,40.1329813,-88.2204915,1047,38
6457,40.1169865,-88.1997699,1015,11
6467,40.0926629,-88.1922751,2012,17
13991,40.1235886,-88.224951,3012,163
3741,40.1080252,-88.2064693,5010,66
16830,40.0928878,-88.2031387,2006,13
28689,40.0921465,-88.2069598,3003,48
38004,40.131039,-88.2023308,3016,74
24403,40.134205,-88.1942432,4001,42
8314,40.1101487,-88.1936611,4016,22
9764,40.1139921,-88.2108877,1027,39
58151,40.1238204,-88.2038105,2011,20
4224,40.1131522,-88.2085796,1041,11
4840,40.1132731,-88.1650815,2046,13
7346,40.1190794,-88.2249069,4008,22
21689,40.1000218,-88.1787038,5023,81
2337,40.1345808,-88.195182,3003,48
1772,40.1357584,-88.194477,3000,50
339,40.1235477,-88.194627,5001,29
4947,40.107076,-88.2059653,5021,21
29176,40.0995447,-88.2029979,4006,32
9300,40.1268038,-88.2281242,3002,116
15534,40.0850767,-88.1949616,4019,12
13277,40.1032427,-88.2183966,3006,117
22850,40.1142604,-88.2248327,2010,14
6135,40.1170011,-88.1981618,1031,61
8935,40.1171346,-88.218389,4031,59
9038,40.1125175,-88.2169174,1005,2
7915,40.1137961,-88.2117611,1028,15
12630,40.1122683,-88.2020111,1018,22
15139,40.1159089,-88.2248605,2002,22
58607,40.0858668,-88.2039421,3016,74
10941,40.1176086,-88.218158,4028,23
2230,40.0894483,-88.1669776,5041,2
7172,40.118613,-88.2248891,4026,10
1430,40.1139936,-88.177633,2045,13
6114,40.1106856,-88.1768161,3015,203
5134,40.1124615,-88.1757278,3006,117
9660,40.1131778,-88.2200037,3012,163
28538,40.1329109,-88.1949355,4005,36
14116,40.1069495,-88.2184605,3000,50
3297,40.1348526,-88.2145575,1035,29
3654,40.1167382,-88.2094681,2016,8
16975,40.135756,-88.1952546,3001,7
1482,40.1108482,-88.1762708,3009,140
69964,40.0892443,-88.19823,4003,16
12224,40.1086632,-88.2184867,2008,26
5493,40.108533,-88.2124414,3014,174
9213,40.1161865,-88.2183801,3001,7
10995,40.1146374,-88.175956,2041,13
5732,40.1089659,-88.2110239,3001,7
69195,40.1144353,-88.1644087,2026,2
29265,40.0938769,-88.2039209,2005,16
7399,40.1209787,-88.2279908,3027,14
7201,40.1228947,-88.2249436,3015,203
89331,40.1358575,-88.2235552,1015,11
11665,40.1242836,-88.2070882,2009,18
20020,40.0858002,-88.2007818,4023,34
16397,40.106981,-88.1950024,4042,33
28076,40.1044915,-88.1972203,3001,7
9560,40.1088951,-88.1984593,4029,38
5104,40.1322601,-88.196546,3028,61
10881,40.1347566,-88.2183503,1051,56
86611,40.1342098,-88.2237784,1048,70
18426,40.1028968,-88.1968896,3005,125
16414,40.1032601,-88.1940932,2002,22
10043,40.109563,-88.2081032,1049,52
61646,40.103754,-88.2114394,4010,96
40265,40.1151583,-88.1713819,2032,32
8998,40.1085714,-88.1936337,4017,35
4893,40.1267854,-88.2288286,3003,48
19459,40.1003022,-88.2083924,5008,43
774,40.1275882,-88.1833901,4024,57
22704,40.1066884,-88.1984877,4039,57
11335,40.1242909,-88.2059208,2010,14
12464,40.0986013,-88.2183376,3011,96
8880,40.1116994,-88.1942731,4007,35
10200,40.0909141,-88.2129459,1042,11
143059,40.0967149,-88.2072492,1005,2
27643,40.1032652,-88.2160158,4013,35
58291,40.0944233,-88.2068783,3000,50
8452,40.1167203,-88.2117927,2026,2
22047,40.0994797,-88.180491,5022,69
44520,40.1188227,-88.1693436,2018,9
23205,40.0898497,-88.2059911,3006,117
73525,40.0769271,-88.1881406,1026,38
26745,40.0858342,-88.1976744,4022,20
11822,40.113312,-88.211016,1026,38
8912,40.1097055,-88.1984504,4023,34
1479,40.1140859,-88.1776536,2044,3
25585,40.0856439,-88.2068011,3013,365
23698,40.1048912,-88.1947362,2000,105
307,40.1017371,-88.1898641,2011,20
23413,40.1268474,-88.2254812,3000,50
7036,40.1156704,-88.2215417,2008,26
12996,40.1070609,-88.2109852,3015,203
9822,40.1094634,-88.2152825,2011,20
41266,40.1218957,-88.2163729,2011,20
8395,40.1081315,-88.1973699,4033,16
9194,40.111701,-88.1954841,4005,36
1821,40.1351553,-88.2307235,1019,78
18488,40.1066995,-88.1961727,4041,43
5127,40.1110505,-88.2019859,1035,29
7750,40.1101311,-88.1965832,4011,52
23829,40.086335,-88.180333,5063,4
818688,40.1092971,-88.182795,3016,74
8630,40.1000097,-88.2224574,1017,22
38281,40.0873218,-88.1725963,5062,19
6860,40.1132572,-88.1751098,2049,5
2488,40.1114703,-88.204056,1038,16
6752,40.1165665,-88.1981543,1032,42
1423,40.1364767,-88.1942908,1018,22
21905,40.1192097,-88.2150884,2009,18
9129,40.10857,-88.1942171,4018,29
27657,40.1041719,-88.2160332,4012,76
19785,40.0888601,-88.1933117,4013,35
153253,40.0857673,-88.183217,1005,2
5767,40.1173952,-88.1996883,1014,101
33331,40.0942414,-88.1966707,2003,51
4539,40.1079201,-88.198503,4040,7
34765,40.0942299,-88.2006158,2004,24
8817,40.1117073,-88.193689,4008,22
8580,40.1407055,-88.1835939,3036,27
54040,40.1108651,-88.2071649,1046,21
1550,40.1058833,-88.1687147,3021,37
19748,40.0902877,-88.1930476,4001,42
23438,40.1259608,-88.225876,3007,73
8387,40.1166209,-88.228015,4025,22
7314,40.1209869,-88.2249325,3029,45
8252,40.1045479,-88.1771544,5009,48
144933,40.1265128,-88.2136339,1040,10
13429,40.0900324,-88.1671382,5030,12
13292,40.1086848,-88.2168653,3005,125
7278,40.1219413,-88.2249393,3021,37
22305,40.1064921,-88.2203769,3001,7
6389,40.1209809,-88.2264512,3028,61
13402,40.1070241,-88.2124153,3018,48
5045,40.1114952,-88.2019944,1032,42
16940,40.1249217,-88.1967584,5008,43
12140,40.1131423,-88.2248049,2009,18
7988,40.1101427,-88.1960401,4012,76
18767,40.0772549,-88.1837872,1020,39
9202,40.1089036,-88.2019229,5000,63
25366,40.0990436,-88.189893,2018,9
13089,40.1060496,-88.2123978,4002,66
59002,40.1192257,-88.2128018,2008,26
168375,40.1036475,-88.2209638,3003,48
4254,40.1375929,-88.19338,1017,22
19854,40.1196046,-88.2229154,4003,16
5699,40.1125432,-88.2138332,1037,6
6927,40.0942861,-88.1910959,2000,105
15577,40.0874379,-88.2049068,3015,203
12074,40.1078392,-88.218476,2009,18
26021,40.10448,-88.1996277,3003,48
5395,40.1117189,-88.2124859,1015,11
19606,40.119609,-88.2205836,4024,57
8765,40.0891549,-88.1636373,5028,14
5422,40.1085554,-88.2110143,3013,365
10324,40.1087238,-88.2138123,3003,48
11347,40.1169155,-88.2150878,2025,14
123886,40.1214876,-88.2219511,4002,66
28168,40.1332473,-88.1977089,3009,140
18083,40.0942788,-88.1937409,2002,22
35592,40.1389269,-88.1833089,3037,45
79023,40.1165502,-88.1870503,1019,78
12512,40.1145957,-88.2165405,3016,74
134474,40.1081565,-88.2271229,2003,51
1648,40.1161855,-88.1828775,2060,1
21237,40.1010615,-88.2230105,3012,163
864,40.127655,-88.1831087,4023,34
4100,40.1083078,-88.2007777,4030,15
23628,40.0934414,-88.1934534,2010,14
27290,40.116968,-88.2036153,1021,31
11880,40.1149839,-88.2200262,3008,85
121931,40.1255363,-88.2083485,2000,105
23086,40.1134244,-88.2146315,1021,31
131782,40.1327495,-88.2172232,1052,68
1950,40.1319692,-88.2032913,3017,90
9867,40.113852,-88.1704057,2031,16
26953,40.0866233,-88.1976819,4029,38
6735,40.1152083,-88.2248457,2005,16
1150,40.1347517,-88.2049034,3022,47
802,40.1346876,-88.2195516,1050,40
5423,40.1096173,-88.2138309,2012,17
95312,40.1260946,-88.2018628,2000,105
11137,40.1079718,-88.2095635,3011,96
14301,40.134675,-88.2008274,3005,125
98326,40.0962882,-88.2252006,1019,78
20500,40.1051036,-88.2132604,4008,22
29164,40.1013368,-88.2084046,5001,29
256,40.0878027,-88.2071461,3017,90
31725,40.1029653,-88.1836523,1015,11
19488,40.0920131,-88.2041501,4011,52
38188,40.1136063,-88.1932569,1026,38
10099,40.1079008,-88.2138018,3008,85
22949,40.1066628,-88.2018791,5017,1042
7492,40.122409,-88.2279962,3018,48
195900,40.1370541,-88.2045315,1014,101
648,40.1286976,-88.2226919,1044,78
6479,40.120021,-88.2264412,4005,36
45545,40.0926829,-88.2061074,3001,7
21918,40.1196097,-88.2181876,4023,34
54479,40.0922899,-88.2085781,3002,116
5291,40.0909681,-88.1741983,5069,3
29190,40.0910725,-88.1976054,2018,9
